"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3230","2610","2310","2360","2520","2790","3120","3320","3680","4030","4480","4850","5970","8140","10020","11640","12940","13800","13790","15050","16330","16940","14460","13510","13590","13850","14470","14400","15600","16530",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","640","650","640","630","550","520","520","540","530","540","530","550","530","550","560","590","610","620","610","630","640","650","700","730","800","770","750","760","760","760","790","840",
"Belgium","BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18750","19740","20410","20810","22050","22940","23270","24310","24960","26030","28510","29330","30810","31530","32510","33590","35760","37310","38800","38450","40450","41010","43270","44750","45870","46850","49060","50900","53000","56340","55130","59360","60020",
"Benin","BEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200","1260","1270","1330","1330","1420","1470","1540","1580","1640","1720","1800","1850","1890","1970","2010","2080","2200","2290","2290","2290","2350","2410","2580","2730","2770","2880","2900","3080","3260","3330","3650","4020",
"Burkina Faso","BFA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570","620","620","640","650","680","760","800","840","890","900","950","970","1030","1070","1160","1250","1290","1350","1350","1410","1470","1530","1590","1570","1580","1750","1900","2030","2080","2050","2280","2400",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1040","1110","1170","1220","1280","1340","1400","1470","1530","1620","1700","1780","1860","1990","2150","2360","2580","2790","2930","3100","3330","3740","3990","4220","4450","4770","5000","5460","5930","6150","6870","7690",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6950","6490","6810","6910","7200","7570","6630","5570","6060","5730","6270","6970","7950","8550","9310","10320","11120","11880","13650","13730","14650","15250","16110","16280","17470","17820","19450","20990","22270","24460","24420","27380","32520",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27080","29780","30330","32390","31710","33700","34820","34230","35600","36040","38390","38750","38910","40990","42080","43620","44700","46730","46350","41820","43510","43420","52020","51700","49530","43330","42760","46190","47360","48850","47080","51370","57370",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380","18790","18430","18360","18950","21830","23880","22130","20860","23680","24830","25520","26350","26280","26900","28210","29320","30110","29980","28280","28420","28820","29400","28900","30010","30620","30680","32750","33040","33670","26000","31050","38290",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","840","1040","2010","2690","3830","4090","4520","4650","4950","5150","5910","6210","7090","7920","8910","9030","9240","9840","10190","10930","11240","11910","12890","13470","14720","16090","15770","17450","20220",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5230","5340","4920","4650","4190","3850","4050","4590","5060","5340","5780","6220","6690","7380","8490","9660","10970","12220","13720","13740","15050","16380","17700","18330","18440","17330","16950","17670","18740","19520","19460","21130","21800",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4460","5030","5620","5970","5920","5970","5930","6070","6110","6480","7200","7410","7690","8190","8400","8650","9050","9170","8930","9110","8860","9080","8540","8770","8650","8910","8710","8390","8400","8770","7910","9370","10900",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72180","71790","70450","72180","71390","74460","78530","85190","86090","86310","82750","90490","98610",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2180","2330","2400","2510","2650","2780","2900","3050","3200","3190","3270","3350","3420","3480","3640","3870","4120","4340","4640","4710","4850","5140","5460","6100","6560","6750","7210","8000","8460","8710","8020","8660","9400",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6440","6640","6670","7010","7350","7900","8100","8360","8330","8280","8740","8900","9190","9390","10100","10640","11320","12260","12960","12930","13810","14600","14620","15320","15370","14420","13910","14210","14550","14900","14590","15830","17260",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9430","9380","9060","9280","9620","9950","10480","11210","11740","11860","12620","12500","12710","13150","13750","14510","15560","16610","16770","16110","16160","15670","15140","15090","14920","15230","15620","15470","15590","15800","14370","14880","17340",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55170","57100","59510","59540","61180","63690","65180","63860","62830","64280","66210","68170","70520","72630","73620","74920","79310","80710","79340","77370","78210","80090","84510","81390","79960","64670","59540","63750","61460","65750","67010","66770","67740",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1380","1360","1470","1630","1800","1840","1970","2140","2090","2160","2710","2920","3160","3370","3570","3910","4300","5100","5310","5570","6130","6640","7080","7240","7860","8640","9390","10030","10470","11180","10450","11300","",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5650","6380","6610","6990","6330","7080","7090","7830","8230","8300","8360","8730","8210","8950","9150","9950","11270","12290","12470","11020","11660","12890","12300","12810","14070","13020","13970","13400","13790","14930","14070","15610","17590",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","620","620","580","570","590","630","600","630","650","670","640","680","690","660","700","710","750","790","800","870","910","950","1030","690","680","740","800","880","940","960","950","990","1020",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19500","19550","19890","20710","21820","22680","23250","24480","25430","26900","28590","29380","30180","31550","33190","35580","37510","38990","39780","38200","39310","40880","41540","43620","45010","43990","45900","47700","49140","49240","46860","52720","57820",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6546.9182224899","6857.48453812816","7319.59081022571","7903.22753697198","8308.22373865627","8579.85564782671","8965.84078280659","9245.77449875744","9865.87966154017","10642.0913944686","11448.1555864775","12050.3834405966","13003.3882510198","13897.4418431705","15344.2246907712","16977.534973089","19009.3102086565","19115.8217525101","20124.2877357082","21475.1514918157","22315.3018124218","23125.7678948276","24150.1059648147","25229.6890718231","26807.7127448188","28823.4710131211","30912.0487922448","33801.1568665232","33857.291786859","36438.2913278927","41302.5100990404",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31520","32280","34090","35400","36590","39020","39210","39640","41170","42560","44860","49560","51130","50260","53740","57270","57830","60440","62660","63350","65920","66960","67250","68130","70150","69200","74270","78040",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4200","4620","5300","5820","6180","6970","7710","8320","8730","8670","9140","9550","9850","10270","10870","11680","14000","15220","15250","15010","16930","18560","20400","21430","21770","22130","22840","23590","24520","24640","23390","26680","28550",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","980","1100","1260","1450","1660","1830","2030","2240","2410","2620","2880","3160","3500","3910","4420","5020","5830","6830","7630","8290","9220","10200","11140","11780","12500","12840","13420","14220","15430","16610","17070","19310","21250",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2480","2500","2480","2440","2480","2620","1830","1940","1990","2010","1880","1840","1810","1750","1860","2060","2110","2150","2280","2340","2460","2250","2490","2650","4180","4480","4590","4690","4920","5200","5220","5680","6330",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1940","1840","1780","1640","1650","1680","1740","1800","1870","1940","1970","2030","2110","2260","2450","2500","2640","2730","2800","2840","2860","2930","2980","3140","3340","3390","3500","3620","3750","3830","3790","3990","4350",
